9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
110	ZFR		SMARCD2		UNC84A	KBTBD11				DPM3	RILPL1	ACTN1	NAP1L1					KIAA1160	C6ORF129				TTF2	C13ORF7		C9ORF82				NR1D2		GTF2A2		TCHP			C17ORF90	EWSR1	BTD	ERGIC1		HOXD12	IPO8		SPATA13	RCN1	AK3	ARFGAP2	
111	ZFYVE19		INTS4		RNF41	LEO1				ZNF434	RPS28	CRLF3	FLJ20444					FOXJ2	TERF1				ORM1	PELI1		GMFB				ALMS1		GRHPR		WASL			SNRPN	ANKMY1	FAM55C	TYK2		ANTXR1	ATF4		CCL18	CNN2	NLRX1	MTMR14	
112	ZNF529		USP1		ZNF16	PPP1R12A				HNRPA1P4	RPL13L	KIAA0368	GGCT					TMEM71	STT3A				PRICKLE4	HCCA2		ZFAND3				LOC442535		C1ORF162		DNASE1L1			TRIO	CPM	ELANE	CMKLR1		AYP1P1	GTPBP2		CLLU1OS	RNF4	NAIP	ZNF329	
113	ZNF800		BCL2L1		IWS1	TSR1				ATP5G2	HIGD2A	DAZAP2	GRINA					SRP19	PIK3CG				IL21R	RMI1		C3ORF63				NF1		NPC2		ZFYVE19			SENP5	SNN	HELZ	KLHL9		KIAA0367	ZNRD1		HMGB1L1	IL2RG	IL16	C1ORF122	
114	ZRANB2		KPNA4		LOC654074	SOLH				MRPS24	C11ORF2	LILRA5	LOC642921					PSMC3	PSMB7				KAT2A	GADD45B		DLD				PTGS2		ABCC4		SPOPL			CAPN3	PRDX3	GRPEL2	RIOK2		PIK4CA	GPR82		KIF5B	GBE1	SLC40A1	INPP5A	
115			ATP2B1		CLDN14	ZNF821				SETD1B	EIF6		NQO2					Sep-06	TBCC				PDCD2L	SLC35B2		DUS4L				FAM174A		CRYZ		ITPK1			C14ORF93	LOC441155	LOC650557	FOXRED2		AIF1	SPARC		TANK	INPP1	SLC16A3	PICK1	
116			CENTB2		PSMD4	HSP90AB1				LOC441775	LOC643284		KIAA0556					TRIM8	LONRF3				C8ORF58	LOC653171		EXTL3				SIL1		ITFG2		MIER1			C15ORF28	PKN2	HSF2	GAA		CLEC7A	CYP27B1		ZNF17	ASB8	TRAPPC9	SPHK1	
117			YEATS4		SGTA	FNBP1				RPL12	LOC136143		TP53INP2					CAPS	GPR27				SAE1	C14ORF149		CETN2				ST3GAL1		DERA		SNX16			STARD5	RBM17	XPNPEP1	RBAK		FCRLB	C6ORF48		DCAKD	UBFD1	CRYL1	GPD2	
118			LOC647481		MRAS	TRAP1				C11ORF73	SNX19		C9ORF40					ZNF415	AHSA2				SORD	LOC729008		ANKZF1				PDDC1		CUTA		KLHL2			TIPRL	TRAPPC2P1	ABCA7	TBCCD1		LRRC45	HOPX		MAN2A1	HIC2	GTF2IRD2B	TFG	
119			NDEL1		CDC34	ROD1				TTPAL	C7ORF54		STAMBP					IFT52	TNRC6B				C16ORF35	ASMTL		STAT5A				Sep-03		CALM2		CHD1			COPB2	DTNBP1	MAGMAS	GTF2E1		C7ORF59	KIDINS220		DNAJB6	LOC728519	C5ORF32	ZNF101	
120			C6ORF64		MBNL1	ANKRD54				BTF3	LOC653658		C18ORF32					DAD1	HSPC171				TRMT5	RIOK1		CAPZA1				TNIP3		LOC654053		LOC653888			ZSCAN18	ITFG1	EIF2C4	PPP3CA		SORBS3	UBE2W		ZNF618	STEAP4	NANOS3	ATP6V0A1	
121			FLJ20699		HM13	PSMD5				C9ORF102	LOC648343		MS4A14					MIB2	TPT1				C1ORF63	C16ORF61		UCHL5				LOC642035		PDCD1LG2		PRDM10			C9ORF114	LOC644162	SPR	THADA		ARFGEF1	E2F4		GTPBP3	FAM188A	UBE2L3	LOC732450	
122			UCP2		LOC654194	ANG				RPSA	RPL39		AFG3L2					C9ORF127	MYOM1				ETFB	KIAA1797		TMEM167A				Sep-10		PCNX		CLK1			PSMC6	FIGNL1	DUSP14	DAZAP1		LY86	CORO1A		PEBP1	HLA-DRA	C2ORF32	C8ORF41	
123			SH3BP1		C6ORF89	NUP93				RPL37A	PABPC4		CLK2					ASL	MED8				MRPS26	CRKRS		VTA1				TOMM40L		S100A6		DRG2			HMG20A	PLRG1	CCDC18	ST7		ANKFY1	GAPT		NUP98	CSNK2A1P	GALC	LOC401321	
124			ARAP2			CPSF3L				RPS2	STAM2		ZNF684					SHFM1	SOX13				M6PRBP1	CSTF2		IMPAD1				GJB2		FNBP4		C17ORF101			BCAP29	SUV39H2	KHDRBS3	NEDD4L		MSC	COMMD5		ENC1	CCL1	SYT15	GLT8D1	
125			SLK			POLRMT				RPS6	LOC401019		EVL					MST1	CALU				JMJD8	MPHOSPH9		TMEM33				TCHH		C7ORF44		NDUFB7			PSMA1	FGD5	GABBR1	GATS		MED16	NFS1		TRIM56	HLA-DPB1	PDLIM7	MAP3K1	
126			ACAA1			FAM53C				LOC646766	LOC149448		NDUFA10					ALG14	CTDP1				PPP1R3D	PDIA4		RFNG				CEP135		RNF166		C14ORF28			C16ORF86	TATDN2	CIDEB	ZNF609		STK40	CUEDC1		LYSMD2	LOC651845	FES	MTMR15	
127			CSNK1G1			SAP30L				BCL7B	TPM4		STK32B					ARSG	C3ORF62				LOC728554	SMARCAD1		SFPQ				UBB		PCTK3		AMMECR1L			PDE3B	LOC402066	TBC1D15	FAM129B		PGAP3	ARPC1A		C2ORF25	RAB31	BATF	MAP4K1	
128			SFRS11			M6PR				RPS5	MYO1C		GPN1					LOC644634	ADSSL1				RSPO3	WBSCR22		EIF1AX				WTAP		DENND5A		ABCC10			YWHAZ	SNORA64	LIN7A	TRIM68		CCDC21	FAM58A		ABHD5	TNKS1BP1	STK25	GNPTG	
129			C17ORF62			STAM				PPIE	TOMM20		HEG1					CCRK	TRAF3IP3				LOC162073	PARP8		QTRTD1				TIMP2		MPZL1		SMAD4			CLEC1A	JUN	EGLN2	FLVCR1		C11ORF74	C17ORF58		NOTCH3	FLJ90757	PBXIP1	DPEP2	
130			GPS2			QRICH1				EEF1G	LOC643007		MOBKL2C					SLC4A1AP	ZFP161				FRMD4A	EIF2B5		VBP1				PRNP		PMFBP1		NKTR			FLJ20021	LAT1-3TM	TXNIP	L3MBTL3		SLC2A8	CD1D		C20ORF11	CPNE3	FREQ	PGBD2	
131			NCOA6IP			LOC389286				LOC651894	REV3L		ERRFI1					LOC389787	DAPK3				UBE2G2	TIMM10		POLM				BZW1		SERPINB1		TBRG4			SELI	RAB4B	PHLDA3	TMEM107		PFKFB2	EVI5L		CSNK1G3	ARHGAP12	PGA3	EFNB1	
132			TRMT112			G6PC3				LOC402057	GRIN1		CENTD2					ST3GAL6	MRE11A				LSM2	RCHY1		RWDD4A				TFPI2		IL3RA		MYNN			ALDH3B1	MORG1	TMEM97	ZBTB34		LOC647108	FCN1		ZDHHC18	BAZ1B	CLDN23	SYK	
133			SURF1			ESRRA				RPS25	ZNF586		DNAJC14					PSMB6	FLOT2				YTHDF3	LOC731878		NIPA2				USP12		CCR7		POLD1			PAN2	UHMK1	ZNF689	MGC15763		LOC440145	PHF13		ADPGK	EXT1	PIP4K2C	AMACR	
134			TAPBP			PPM1D				ATF6	LOC650276		DEF8					R3HDM2	EIF4H				C16ORF33	MRPL32		SRP9				CHKA		NINJ1		RPS6KA4			PARN	C4ORF16	MGC57346	TAF15		UBAC1	CCL5		PPM1H	BICD2	MAP3K7IP1	VPS16	
135			KCTD13			EIF5A				LOC285900	LOC646195		TRIM3					SNRNP200	PDIA3P				MYH3	SF3B3		KIAA1033				CASC4		TMEM218		SUPT16H			TSG101	WASPIP	METTL1	PIBF1		ADORA3	LOC644615		RNF121	BCL2	UFD1L	LOC653382	
136			ZNF444			TBL3				LOC440927	RPL32		CHCHD2					ATP2A2	H2AFZ				C6ORF108	UTP6		C3ORF58				MET		ZMIZ2		PMVK			SC5DL	SBF1	RCSD1	NLRP2		NDP	GSTZ1		TCEA1	LRRC29	RAB32	GLUD2	
137			KIAA0460			VPRBP				LOC649821	RPS17		CBR4					TOR1A	MGC70863				SETD8	PFN1		ZNF341				GPR132		IL32		THOC3			FTO	SLC25A42	IGFBP4	ERCC8		EPHX1	CTTN		DC36	CHFR	WWP1	RFX2	
138			PACS1			HK3				LOC728481	PPP1R3F		PCTP					ABHD3	FAM82A2				PSMG2	POLDIP2		INTS2				FAM109A		ZNF828		UIMC1			ACAD10	PI4KB	SLC9A3R1	PLP2		ANKRD28	B3GNT5		PTPLB	PCSK7	LOC728492	PFTK1	
139			PQBP1							RPL8	RPS10		RICS					ATG2B	VGLL4				C12ORF65	MMGT1		CASC3				TMEM168		PLXDC2		TOR1AIP2			LOC642732	BTBD10	NUP188	RNF135		LYL1	MOSPD3		VPS41	GCA	CALML4	TMEM175	
140			AP2M1							ZC3H18	CCNB1IP1		PHF2					PHKA2	THEM2				TMEM181	LOC650029		WRN				ARL2		SEMA4D		MRPL41			PI4K2B	INPP5F	P4HA2	EIF3J		CDC5L	LOC650152		AHNAK	SH3BP4	FUT4	NFYA	
141			RALY							UBE2I	LOC647361		DUSP1					AASDH	LOC727825				GOLGA7	PSMG1		TDG				NIP30		GHRL		SEC24B			ZNF282	LOC654155	SH3GLB2	FAM120B		GPR68	OSTF1		CDC42SE1	ARHGAP11A	NPAL3	LOC81691	
142			IRF3							LOC643287	CEP63		NDUFA9					THAP11	P4HB				ZNF136	ITGB3BP		HPRT1				NEU4		SNX5		SP3			ZNF559	POLR3C	ZNF804A	TUBB6		PCDHGB4	GNAI3		PAQR8	CCR2	NAPRT1	TLR7	
143			C1QB							LOC388275	C10ORF57		EPB41L3					ALDH4A1	EIF4A2				GCN1L1	HMBS		OSBPL11				ATP6V1D		PHF20		MMS19L			TMED10P	ZC3H5	UGCGL2	P2RY8		ERP29	YEATS2		PDE7A	ACSS2	MEF2C	MT2A	
144			RAD23B							LOC731096	LOC440055		ISCA2					NSBP1	LOC401218				C11ORF24	ZNF480		MANEA				LOXL3		ITGB3		HSPA13			LNPEP	RNF220	RPGRIP1	RASGRP4		IGFBP7	NPSR1		RHBDD2	PKIB	SIRPB1	CXXC5	
145			DGKA							LOC652624	LOC652071		PALB2					LOC286310	PCMTD2				CHIC2	EXOSC2		ZNF518A				FLJ10213		VAV1		ACVR1			ZNF581	ZHX1	AGTPBP1	SEPSECS		MAP2K4	RCBTB2		MGMT	LOC283050	MREG	RHOA	
146			PTPN11							TMEM87A	LOC649946		DDX47					XYLT2	C20ORF197				HBXIP	DUSP18		LIMS1				FAM108C1		DHDH		RAP1B			LOC648581	BTBD1	DONSON	HSPBAP1		KIAA0146	LOC729466		ACSL5	CD2	TP53INP1	CKAP4	
147			MORC2							LOC441246	LOC388532		ZNF32					GOSR2	RHOT1				SNX30	ZNF426		MGC16169				LSS		FAM124A		DDX3X			CPSF2	ATAD1	MYOZ1	ZNF516		MYO7A	TIAL1		ANKRD57	PITPNM2	CSF3R	LASS5	
148			C16ORF70							CHEK2	RPS24		POLA2					LOC730994	GMPPA				SFRS16	UBE2D2		FYTTD1				CDC14A		ATP5J2		APEH			SCFD1	PAPD5	SMARCC2	FGD3		KCNJ8	TMEM154		PPP2R3C	GSTO1	MTM1	FBXO3	
149			CCDC91							FTL	EEF1B2		C13ORF18					C2ORF64	TMEM53				RPUSD2	TSEN2		C10ORF26				CTHRC1		OSGIN2		DGKQ			ZNF337	MAGEH1	BMF	FOSL1		DISP1	SNX3		LOC284988	KATNA1	ATM	PLAC2	
150			GPR137B							TMEM50A	LOC440733		SDHB					HSPA1L	CD276				CCDC17	LOC652264		PTMA				CLEC12A		VDR		CHCHD5			TUSC4	CSNK1D		CCM2		HS3ST2	EAF2		ESYT1	SNRPD3	C19ORF35	C7ORF41	
151			AP1G2							RPS3	LOC731640		ANXA4					PHACTR2	RPN1				TMEM116	MTIF3		RAB24				C14ORF159		MAP1LC3A		SLMAP			IL11RA	C1ORF109				C1ORF85	C10ORF59		MAD2L1BP	ANKRD35	RTN3	RNF114	
152			ACTN4							LOC284821	CDC16		TFE3					C6ORF61	STARD3				FBXW4	FBXL6		IER3IP1				RCN2		FBXO46		NLN			ZSCAN2	SLC17A9				CR1	MBIP		ARPC5	CDS2	IQSEC2	ATOX1	
153			DCTN5							EIF2C3	ALDH9A1		ITK					RNF7	ZNF271				RELA	RPP40		PDE12				RPS6KA1		HCK		CAMK1			SLC30A6	RPS6KC1				RARRES1	CLINT1		OAF	ATP6V1H	C1ORF112	IL4I1	
154			BAX							LOC387867	RPL15		LIG4					DIRC2	ZXDC				IARS2	ARD1A		CAPN2				AMPD3		MYH11		FXR1			FIG4	CDC42SE2				STRN3	SLC35A5		LPAR1	PAK1	RBP7	MT1E	
155			TLK1							LOC648000	SCMH1		CDR2					ALG13	TTC13				LOC730534	CDK9		TMX1				TRIT1		ZNF281		SLC30A7			KPNA1	TMEM85				CMTM1			TSPAN32	NAT12	SELL	UBE3A	
156			GRB2							RPL9	XRCC6BP1		DLL1					NOP10	CD47				C3ORF21	CNOT2		CLCN3				PPM1M		CYP26A1		LEMD3				LOC643031				WDR13			ZBTB45	CCDC55	TMEM37	MYBPH	
157			DYNC1H1							LOC647856	RPL22		FAM38A					TTC1					PSMC5	SDF2		KBTBD8				IL24		ASCC1		RNF103				TNK2				KLHDC8B			TMEM163	PIP5K2A	CACNA2D3	CDR2L	
158			KIAA0195							SPRYD3	LOC388720		ZNF142					CLASP1					NUP37	SIN3A		ACTR3				SRGAP2		FAM23B		MON2				TMEM110				CTSK			ZNF654	RDX	C11ORF67	MT1A	
159			FAM53B							PRDM4	LOC220433		SPOCK2					ZNF207					RTN1	GRWD1		MOCS1				IMMT		DCAF7		FNIP1				ACPT				BLVRB			ACAP1	RAI14	WDFY2	HLA-DRB6	
160			SSFA2							NACAP1	C20ORF43		C2ORF28					CNNM1					LOC440093	ALKBH5		RNF214				SAMSN1		PTGES		RBM7				ZNF211				LOC653907			ARL4A	PRRG1	IQCB1	ANKRD50	
161			CORO1B							LOC283412	RPL6		SMCR7L					XRCC1					PRNPIP	CREBBP		RRAS				CXCL1		ARID2		BIRC2				SPINLW1				TSPAN15			TMBIM1	LRRK1	GPR177	SLC47A1	
162			CCDC97							FOLH1	CCDC25		RBPMS2					CRBN					LUZP1	ALDH18A1		ETNK1				TNF		ANKDD1A		LSM4				LOC727759				PTDSS2			LY96	IFT57	TESC	TCTN1	
163			PPDPF							TIMM17B	LOC728973		COQ5					C5ORF53					FAM173B	WDR77		EEF1D				CUTL1		RAB8B		RNF26				MAP4K2				PTPRE			OLIG2	C17ORF71	EMR2	MMP9	
164			PCNP							SLC25A38	P2RY13		SESTD1					C6ORF62					HN1	POLR1C		AGGF1				MTA3		ADORA2A		RGS14				SNAPC4				HOMER3			SMG1	TFCP2	MAF	BCL2L11	
165			BRWD1							RPS4X	NONO		TINF2					NCAPD2					N4BP1	RUVBL1		B3GALT4				CES3		AKR7A2		ABI1				ZBTB48				PACSIN2			C20ORF27	TNIP2	GRAP	CTSF	
166			TTC15							RPS18	HNRNPH2		PRKD2					HIF1AN					TSPAN33	WDR4		ASF1A				ZNF28		PPT1		ZMAT5				C7ORF11				FAM18B2			MGLL	IL8RB	NECAP2	FLAD1	
167			APP							RPL36AL	USF1		TNC					YPEL2					C5ORF15	LATS2		LOC653226				C11ORF17		LOC651064		RAB2B				RHBDL2				MAFB			FAM107B	PSMA7	EPN1	ZDHHC6	
168			RNF31							UTP14C	GNB2L1		LIAS					HIGD1A					OMA1	ISOC2		MTDH				FSD1CL		IRF2BP2		TMEM147				LOC643882				CFD			C12ORF52	CD200R1	REEP4	GSTM1	
169			TFPT							RAB33B	FAM189B		TBCA					FABP5					TSEN54	BYSL		MAP4K5				GALK1		ZMYND15		MBNL2				RNPC2				PINK1			C12ORF62	CLEC10A	PELO	CLEC4G	
170			HOM-TES-103							QARS	FAHD2B		MRPS25					ZNF263					DOCK7	GVIN1		EIF4G2				NBAS		ADARB1		SERINC1				PFDN5				FLJ20489			HNRPUL2	LMO2	ABL1	BAG5	
171			XAB2							NSA2	MON1B		PDCD6IP					STX16					TBP	FCRLA		CENPQ				SETDB2		CLEC4D		CDC26				MBD6				SDS			ARHGEF19	GAS6	ZCCHC24	MED28	
172			BSG							NHLRC2	TIMM22		SOCS3					EPS15L1					PRPF18	BCCIP		PRPF38A				NLK		KIAA1383		C14ORF32				EFNA4				SHMT1			NDUFB10	FAM70B	MAPK3	LOC654191	
173			ITFG3							LOC388524	CYB561		NDUFS4					LCTL					EXOC1	MRPS28		MAML1				MAMLD1		EBI3		RSRC2				LOC401397				TRIM24			LOC652755	C10ORF47	LOC92017	MGA	
174			SLC29A1							PAIP1	LOC388621		PIM2					SELPLG					SNRPD2	MYC		SETDB1				ITGB8		ISCU		TTC33				MARCH1				CALM3			DCTN3	BANK1	DEPDC6	ZNF594	
175			NCOR1							NDUFA12	LOC653773		CYC1					CLCC1					MFSD3	PTRH2		NEURL4				MLLT6		C20ORF160		NDUFA11				ARIH2				TCN2			VAMP8	CAMK1D	APPL2	LOC400657	
176			GNAI2							SCNM1	ABHD4		ZBTB40					LOC642468					LOC441377	SLU7		C1ORF131				LOC641825		PM20D2		SERF2				PCSK5							MGAT4A	SOAT1	CAPZB	ERCC2	
177			UBE4A							TMEM18	TINP1		FASTKD1					CBX5					LOC653381	TESK1		DNAJC13				EBF1		TRAPPC2L		HIST1H1C				RAB3GAP1							SMARCE1	ZNF770	C1ORF107	ATP1A1	
178			POLE							MRPL11	PAX7		FAM120A					KIAA1545					ITPA	Sep-11		TBC1D2B				TTC23		PLAGL1		MPND				FEZ1							HERC3	TULP4	RB1	FXC1	
179			DNAJC17							LOC440589	CPSF1		GK2					PSEN2					TARBP1	DCTN2		EIF5A2				MED13		RPAIN		TPM3				FAM135A							SBDSP	PIGC	ZNF792	TMLHE	
180			NPHP4							RPL4	LOC645018		CRTC2					TTC17					EIF4E2	DCAF16		TUBB2A				GK5		SR140		FAM76B				ZNF700							ARL6IP1	WDSUB1	IL1RN	LAMP2	
181			MED24							LOC158345	RPL5		TP53BP1					CAPRIN2					ZNF789	GCDH		SLC25A43				CXCR5		GPNMB		PFAAP5				DNCL1							LRRC41	PTGER3		SFRS8	
182			IL17RA							EEF1A1	LOC649548		PHF17					KDM5B					STK39	HSPC111		PRMT3				CEP350		GLIPR1		ZNF614				ZNF688							CBL	LOC730995		TRMT11	
183			PYGB							LOC401206	EDEM2		SLC30A9					YPEL3					C7ORF70	VASH1		BMPR2				ARRDC3		SLC35C2		DDX5				SPATA2L							PFDN1	TGDS		HYLS1	
184			ANKRD13C							RPS9	RPL21		TADA1L					MAGOH					NUP133	DPH2		ZNF324				FLJ42986		VAMP4		TMEM160				FAM73A							MDC1	HLA-DRB3		NARG1L	
185			RAB43							SLC35B3	RPS3A		RASA2					ARRDC5					KIAA0776	DGCR8		MBD1				FCAMR		MGST2		MAPBPIP				ORAOV1							PLCB2			LOC644090	
186			PCID2							ACTR1B	IDS		LOC389293					LOC440993					NIPAL4	STK17B		SLC25A46				TNFAIP8		CD2BP2		ARID4A				ZC3H3							RUSC1			NOD1	
187			UCKL1							LOC651149	RANBP9		GBAS					DVL2					ARSB	HNRNPAB		EXOSC3				PCM1		TFAM		MARCH7				ZNF576							AFG3L1			C15ORF48	
188			NCOR2							LOC653232	C19ORF53		COX5A					USP21					ZNF275	PRPS1		CSTF3				MTO1		CYFIP1		SMNDC1				CMTM4							TMEM141			CHERP	
189			HERPUD2							LOC648249	IFP38		SACS					LOC653496					STRA13	ANAPC5		ZNF75A				HIPK2		SIX5		LOC644330				ZNF264							RACGAP1			RASA3	
190			IKZF5							LOC400120	GTPBP6		CLEC2D					TRIM4					GBA2	BZW2		LOC647009				LDHD		AIFM1		C1GALT1				TOP3A							SIDT2			TSFM	
191			LOC653438							LOC651453	C12ORF47		SDHD					ABHD2					C2ORF43	ARSD		VPS26A				VPS45		RFTN1		PPP1R7				TNFAIP8L1							LOC642934			GRPEL1	
192			STIM1							EIF4B	LOC643949		UFSP2					DDX1					PSMB3	CMPK1		LSM1				PDE4D		SUB1		PRPF8				FLJ20125							CMTM7			TMEM222	
193			WDR81							SERGEF	PSENEN		IL27RA					PSMB1					MAT2A	BNIP3L		POLE3				KIAA1199		TNRC15		NPHP3				LOC653352							PPP2R3A			PNMA1	
194			MED12							LOC646200	MKKS		CRIP1					FAM113A					PPHLN1	SNORA33		DHX29				PSCDBP		TBC1D8		STAG1				PDSS1							ZNF200			TGIF2	
195			FAM3A								HAUS4		HEATR6					NDUFAF1					HNRPM	SNHG3-RCC1		ECHDC1				NLF2		BPTF		TIA1				CRY2							TRIM32			MXD4	
196			USP16								POLR1E		ETS2					UBXN1					MORC3	WDR53		SUMO1P3				EHD1		RLF		BMI1				EIF4A1							ACO1			AP4B1	
197			NFX1								MTR		TIAM1					FLJ39653					RUNX2	ATPAF2		LOC648189				DIDO1		DUSP23		PHACTR4				VPS33A							C9ORF61			JAZF1	
198			BCLAF1								ZNF707		MRPL37					C12ORF31					MYST3	UBE3C		MRPS36				IL8		VAT1		NDUFB11				SCRIB							SNAP47			HOXB1	
199			USF2								GSTCD		FBXO4					UPRT					RALGAPB	NIT2		DNAJC25				COG7		GUCY1B2		MRPL34				METRNL							SLC1A3			SNX29	
200			DDX41								C4ORF14		Sep-07					PSMD7					RFX3	NPM3		C5ORF35				BTN2A1		GRAMD1A		ORC2L				LOC647691							TLN1			VAMP3	
201			TSTD2								LOC645138		RNMTL1					C6ORF97					CHCHD1	SCO1						FAM78A		USP14		DCPS				NAT1							PRKCH			C12ORF59	
202			NSUN5								PHF19		SAPS3					POLR2J					WBP2	TRIM23						ZFAND5		NUPR1		FCHO1				RAB40C							AVIL			FCER1A	
203			PHKG2								LOC651202		UQCRB					ATG16L2					TOP1MT	PTPRC						CEP170		C20ORF29		ECM1				ABCA4							SLC25A35			LOC401052	
204			SLC35A3								CCNG1		MAFG					VWF					KIAA1632	CHD2						CSF3		BTG1		SECISBP2				MGC10997							PLTP			MAPK1	
205			OGDH								LGTN		MRS2					UGCGL1					CLN5	RBMS1						SEMA6B		ZMYM6		APOA1BP				LMAN1							KYNU			SRC	
206			LOC407835								CTSL1		UQCC					PCYOX1					RHOQ	XYLB						NCSTN		ARHGAP18						LOC653506							SLC9A1			ASNSD1	
207			KLHDC2								IGF2BP2		BRMS1					EVI2A					PHCA	NOL8						IL1F9		LOC728758						RANBP6							DNMT1			GPKOW	
208			CALCOCO1								LOC641848		DYRK2					LOC650116					NUP155	CCNT1						CEBPA		APBA3						APOB48R							ATP2A3			PANX1	
209			CHD7								LOC649447		CISD1					SNURF					PLD1	IMP4						XBP1		MED6						C16ORF93							ECOP			AQP9	
210			SF3A2								C17ORF45		TMEM51					PSMD14					PPP2R5A	RFESD						ZBTB2		UBE2F						LOC649897							P2RY2			SLFN5	
211			MYO1F								RPL38		AP3M2					MAGEL2					RNF149	MEMO1						ARHGAP17		MFAP5						RPS27L							WHSC1L1			RABL4	
212			IDUA								PMS2L5		ATP5A1					FGF18					TXNDC17	GNB4						PSPC1		ZSWIM4						PSME4							TTL			SART3	
213			VPS72								C7ORF25		DHX16					PSMC2					CD46	RAB23						HMGCL		NR3C1						FUCA2							CKAP2			SNX26	
214			EDC3								TMEM42		IFT74					RNASEH1					LOC148915	ZBTB46						PFKFB3		KCTD5						LOC654069							FN3KRP			HLA-DQB1	
215			MAP2K2								ZNF513		FRAG1					PSMD6					RSPH3	MRPL3						C14ORF135		ACYP2						SSTR2							LOC440900			CAMSAP1L1	
216			ARL6IP4								LOC284023		RAB38					TMEM62					CYTL1	ZWILCH						MMP1		MYBPC3						ITPRIPL2							PTPN12			MAP7	
217			MAN2B1								TRERF1		MCTS1					RBBP8					TTC5	LOC652324						GRAMD3		MCMDC1						SON							PIK3R1			AP2A2	
218			ABCD1								RNF123		NNT					BTBD7					MBD3	NDFIP2						NT5E		MAN1A1						HNRPR							RUSC2			FAM113B	
219			DGUOK								LOC347292		SLC2A5					FGFR1OP					STX7	IPO4						SMOX		DCXR						MZF1							PLOD2			C5ORF13	
220			ATF2								LOC643433		C9ORF123					EFEMP2					NEFH	MSTO1						CACNB3		MYO1B						HIST1H4C							CTDSPL			KIF3B	
221			DYNLRB1								LOC731985		HMGB3					JAG1					LMO4	PSMG3						TBK1		SYN1						CDC123							KLC1			HNRNPUL2	
222			IPO9								KIAA0415		LPCAT2										C17ORF39	CD63						TLR2		SIAH2						IMAA							CARHSP1			FAM164A	
223			ARRB2								LOC651621		GRSF1										ATG2A	PAQR3						SLC25A37		NXF1						LOC401152							ATPIF1			ACSS1	
224			SAPS1								RPL31		DBT										ATP13A1	MICAL1						NCF2		NT5DC3						NT5C3L							PLA2G4C			SFRS6	
225			UAP1L1								EIF3E		FANCG										GUCA1B	GDAP2						LOC653778		MYO1D						TIFAB							GK			HECTD3	
226			GOLGA4								POLR1D		LYPLAL1										EBPL	HNRNPA0						C14ORF106		GPR120						GMEB1							BRPF1			LRMP	
227			C9ORF142								PKP4		MRPL15										TCEAL1	CCT5						FPR2		MNDA						PDCD2							MRPL53			AARS2	
228			GBA								COG2		C5ORF62										SRP14P1	NUDCD2						ARL2BP		MGC18216						TRIM11							TPM2			SLC25A23	
229			SLTM								EEF2		SYNJ2										CSNK2A2	ZNF460						SPATA20		TNFRSF10B						NOTCH2							LOC653702			FXN	
230			UNC45A								RPL35		LOC647340										ZFC3H1	NOP56						MXD1		P2RX1						CD79B							NFE2L1			PECR	
231			HNRPK										FAF1										KLHL28	TMEM48						STAT4		PPP3CC						LRP5L							KCNQ3			TPR	
232			CNO										ABCB9										C22ORF13	EP300						CCNT2		RAB34						CDCP1							SLC2A6			LHX6	
233			WASF2										FIS										LOC644934	SNORD4A						REL		SOX4						DCBLD1							SLC46A2			UBL7	
234			ADAT3										DENND3										PRKAR1A	C1ORF163						C10ORF6		SLC25A16						PTCD1							GLE1			ZNF650	
235			ATN1										PPIL3										VDAC3	CCT4						SLC10A3		IAH1						LPCAT1							CUGBP2			PDLIM5	
236			IRF2										HPS5										ZFPL1	TMEM185B						FAM160A2		CLOCK						COL4A3BP							ZNF34			ACACB	
237			TMEM93										SAAL1										CEP164	SYF2						KCNE1L		P8						KIAA0406							ANGEL1			NUDT1	
238			BUD31										CPT2										PARP2	SRPRB						PNPO		TBC1D4						MNT							MDM2			ARL5A	
239			RNH1										LOC441763										COQ2	C14ORF169						BMP6		UGP2						GOLGB1							TRADD			AZI1	
240			STX10										NDRG2										APTX	NR2C2AP						MFAP3		ACAD8						C16ORF48							RNF11			UBE2G1	
241			CBLL1										LRCH3										EHBP1	ACTR5						NFATC3		SLC18A1						TMEM127							RBPJ			NSMCE2	
242			TAZ										MAD2L2										VARS2	NME1						BIVM		DENND4C						LOC727820							C14ORF2			NASP	
243			TMEM8										SUCLG2										ACACA	LOC648366						MAN1B1		QDPR						DMD							DDX59			SLC30A1	
244			EIF3A										LOC200030										NRGN	APCDD1						HCFC1R1		IRAK3						CAB39L							CWC15			MT1X	
245			APEX2										CBX3										ACAD9	CTPS						ZNF649		ZBTB10						ZNF358							PGM2L1			CCDC111	
246			HNRNPC										CYTH3										UROS	CDKN1A						PRAM1		MDM1						C10ORF58							NICN1			GALT	
247			PPP2R5D										ACADM										RRM1	CDK4						CDK2		SLC38A7						MBD4							C19ORF61			SLC43A3	
248			ID2										C17ORF56										NUB1	WDR21A						HIST1H2BK		C17ORF49						ERAP2							SESN2			NLRC4	
249			GHDC										FAM96A										MYO1G	CASP1						LOC387763		SIK3						C21ORF2							EIF2B1			C5ORF24	
250			VPS52										CTBS										CCDC12	GMNN						ELL2		RPGR						UBAC2							P2RX4			P2RY5	
